id,collection,title,date,source,authors,tags,language,chunk_id,chunk_index,content
tech_00001,tech_100_long,Invention of the Transistor,12/23/1947,wikipedia/Transistor,Bardeen;Brattain;Shockley,transistor;semiconductor;electronics,en,tech_00001_c0,0,"Point-contact transistor demonstrated at Bell Labs, marking the beginning of modern solid-state electronics."
tech_00002,tech_100_long,First Stored-Program Computer (EDVAC proposal),6/1/1945,wikipedia/EDVAC,von Neumann,computer-architecture;EDVAC,en,tech_00002_c0,0,Von Neumann architecture formalized ideas for stored-program computing that guided the design of later computers.
tech_00003,tech_100_long,Invention of the MOSFET,11/1/1959,wikipedia/Mohamed_M._Atalla,Mohamed M. Atalla;Dawon Kahng,MOSFET;semiconductor;IC,en,tech_00003_c0,0,"Atalla and Kahng invented the MOSFET, enabling high-density integrated circuits and modern microelectronics."
tech_00004,tech_100_long,Integrated Circuit Patents and Development,2/6/1958,wikipedia/Integrated_circuit,Jack Kilby;Robert Noyce,IC;semiconductor,en,tech_00004_c0,0,Independent work by Kilby and Noyce led to practical integrated circuits that integrated multiple transistors on a single chip.
tech_00005,tech_100_long,Creation of ARPANET (first packet-switched network),10/29/1969,wikipedia/ARPANET,DARPA;BBN,ARPANET;networking;internet,en,tech_00005_c0,0,ARPANET established the first wide-area packet-switched network and laid foundations for the Internet.
tech_00006,tech_100_long,Development of TCP/IP protocol suite,1/1/1974,wikipedia/TCP/IP,Vint Cerf;Bob Kahn,TCP/IP;protocols;networking,en,tech_00006_c0,0,"TCP/IP specified standards that enabled heterogeneous networks to interconnect, forming the core of the Internet."
tech_00007,tech_100_long,Creation of the Domain Name System (DNS),11/1/1983,wikipedia/Domain_Name_System,Paul Mockapetris,DNS;internet,en,tech_00007_c0,0,"DNS introduced human-readable domain names mapped to IP addresses, simplifying navigation of network resources."
tech_00008,tech_100_long,Birth of the World Wide Web (proposal),3/12/1989,cern/birth-web,Tim Berners-Lee,web;HTML;HTTP,en,tech_00008_c0,0,Tim Berners-Lee proposed the World Wide Web at CERN to link scientific information via hypertext; the first website went online in 1991.
tech_00009,tech_100_long,First Web Browser and Editor (WorldWideWeb),12/1/1990,wikipedia/WorldWideWeb_browser,Tim Berners-Lee,browser;WWW,en,tech_00009_c0,0,The WorldWideWeb browser/editor was the first tool enabling both viewing and authoring of web pages.
tech_00010,tech_100_long,Invention of the C programming language,2/1/1972,wikipedia/C_(programming_language),Dennis Ritchie,programming;language;systems,en,tech_00010_c0,0,C language developed at Bell Labs and became widely used for systems programming and OS development.
tech_00011,tech_100_long,Development of UNIX,11/1/1969,wikipedia/Unix,Ken Thompson;Dennis Ritchie,OS;Unix,en,tech_00011_c0,0,"UNIX introduced a portable, multiuser operating system architecture influencing later OS design."
tech_00012,tech_100_long,First email sent,10/29/1971,wikipedia/Email,Ray Tomlinson,email;communication,en,tech_00012_c0,0,Ray Tomlinson implemented the first networked email system using the @ sign to separate user and host.
tech_00013,tech_100_long,Relational Database Model,6/1/1970,wikipedia/Relational_database,Edgar F. Codd,databases;relational,en,tech_00013_c0,0,Codd proposed the relational model which became foundational for modern database systems like SQL databases.
tech_00014,tech_100_long,Invention of the microprocessor (Intel 4004),11/15/1971,wikipedia/Intel_4004,Intel engineers,microprocessor;Intel,en,tech_00014_c0,0,"Intel's 4004 was the first commercially available microprocessor, integrating CPU functions onto a single chip."
tech_00015,tech_100_long,Creation of Ethernet,5/22/1973,wikipedia/Ethernet,Robert Metcalfe,ethernet;networking,en,tech_00015_c0,0,Ethernet standardized local area networking with a simple framing and collision detection mechanism.
